IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,UTM_Nord,UTM_Est,lat,lng
5504,Biossido di Azoto,µg/m³,501,Milano v.Marche,129,MI,Milano,N         ,09/18/1980,5038105,514918,45.49631883,9.19093444
5507,Biossido di Azoto,µg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,N         ,12/18/1980,5042386,518435,45.53476819,9.23610903
5517,Biossido di Azoto,µg/m³,514,Rho via Buon Gesù,152,MI,Rho,N         ,10/03/1991,5041100,503483,45.52342919,9.0446025
5520,Biossido di Azoto,µg/m³,517,Turbigo,141,MI,Turbigo,N         ,01/11/1990,5041480,479423,45.52655611,8.73650211
5531,Biossido di Azoto,µg/m³,528,Milano Verziere,116,MI,Milano,N         ,11/24/1988,5034443,515270,45.46334886,9.19532511
5532,Biossido di Azoto,µg/m³,529,Cinisello Balsamo v.Lincoln,149,MI,Cinisello Balsamo,N         ,11/24/1988,5044335,517778,45.55232831,9.22776572
5534,Biossido di Azoto,µg/m³,531,Pioltello Limito,114,MI,Pioltello,N         ,05/23/1989,5036730,525583,45.48363242,9.32736196
5542,Biossido di Azoto,µg/m³,539,Milano v.Liguria,115,MI,Milano,N         ,10/24/1991,5032273,513134,45.44386047,9.16794489
5545,Biossido di Azoto,µg/m³,542,Meda v. Gagarin,222,MB,Meda,N         ,11/01/1995,5056480,512203,45.660992,9.160225
5547,Biossido di Azoto,µg/m³,544,Cormano v. Edison,153,MI,Cormano,N         ,10/24/1994,5044180,512693,45.547597,9.166983
5548,Biossido di Azoto,µg/m³,545,Motta Visconti v. De Gasperi,100,MI,Motta Visconti,N         ,03/17/1998,5014273,499103,45.28196356,8.98857592
5549,Biossido di Azoto,µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,N         ,04/22/1995,5034328,490635,45.46242074,8.88021388
5551,Biossido di Azoto,µg/m³,548,Milano v.Senato,118,MI,Milano,N         ,04/21/1995,5035238,515435,45.470501,9.19746075
5555,Biossido di Azoto,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N         ,12/24/1991,5075945,484773,45.83690156,8.80393486
5557,Biossido di Azoto,µg/m³,554,Saronno v.Santuario,212,VA,Saronno,N         ,03/28/1997,5052646,502058,45.62735705,9.02640138
5561,Biossido di Azoto,µg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N         ,12/06/1998,5047718,487687,45.58289429,8.84216546
5563,Biossido di Azoto,µg/m³,560,Varese v.Copelli,383,VA,Varese,N         ,08/07/2003,5073728,486035,45.8169745,8.82024911
5564,Biossido di Azoto,µg/m³,561,Como v.Cattaneo,202,CO,Como,N         ,02/17/1991,5073500,505203,45.81504217,9.06697886
5567,Biossido di Azoto,µg/m³,564,Erba v. Battisti,279,CO,Erba,N         ,06/13/2009,5072803,517232,45.8085738,9.2217792
5572,Biossido di Azoto,µg/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,N         ,11/01/1993,5113078,567173,46.16797103,9.87014581
5574,Biossido di Azoto,µg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N         ,11/01/1993,5147136,605598,46.46952397,10.37543275
5575,Biossido di Azoto,µg/m³,572,Morbegno v.Cortivacci,262,SO,Morbegno,N         ,01/13/1999,5108901,543736,46.135486,9.56624
5576,Biossido di Azoto,µg/m³,573,Colico v.La Madoneta,229,LC,Colico,N         ,11/05/1996,5109468,529713,46.1381409,9.38468725
5577,Biossido di Azoto,µg/m³,574,Lecco v. Amendola,214,LC,Lecco,N         ,02/17/1991,5077479,530713,45.85019631,9.39558125
5579,Biossido di Azoto,µg/m³,576,Merate v. Madonna di Loreto,279,LC,Merate,N         ,02/18/1991,5060569,531623,45.69795956,9.40619194
5586,Biossido di Azoto,µg/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N         ,06/01/1989,5059922,550116,45.691044,9.64366225
5587,Biossido di Azoto,µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N         ,06/21/1994,5060449,551482,45.69568669,9.66126061
5591,Biossido di Azoto,µg/m³,588,Tavernola Bergamasca v.Riva di Sotto,191,BG,Tavernola Bergamasca,N         ,09/21/1990,5063058,581311,45.71630489,10.04477436
5595,Biossido di Azoto,µg/m³,592,Treviglio p.zza Insurrezione,191,BG,Treviglio,N         ,06/02/1991,5040815,546236,45.51933533,9.59201917
5598,Biossido di Azoto,µg/m³,595,Filago v.Don Milani,190,BG,Filago,N         ,03/06/1992,5053519,543342,45.63387247,9.55609572
5599,Biossido di Azoto,µg/m³,596,Osio Sotto v.per Levate,182,BG,Osio Sotto,N         ,04/06/2000,5052072,547691,45.62055568,9.61173782
5601,Biossido di Azoto,µg/m³,598,San Rocco al Porto v.Matteotti,50,LO,San Rocco al Porto,N         ,01/24/2002,4992297,555154,45.08199189,9.70079278
5603,Biossido di Azoto,µg/m³,600,Lodi v.Vignati,80,LO,Lodi,N         ,12/30/1999,5017060,538042,45.30601628,9.48527511
5607,Biossido di Azoto,µg/m³,604,Tavazzano con Villavesco v.Cascina Bagnolo,85,LO,Tavazzano con Villavesco,N         ,01/13/2000,5019734,532492,45.33036444,9.41464375
5609,Biossido di Azoto,µg/m³,606,San Giuliano Milanese via Milano,97,MI,San Giuliano Milanese,N         ,01/13/2000,5027003,522127,45.39619767,9.28269897
5610,Biossido di Azoto,µg/m³,607,Abbadia Cerreto v. Fanfulla,64,LO,Abbadia Cerreto,N         ,01/13/2000,5017500,545920,45.30950506,9.58580022
5611,Biossido di Azoto,µg/m³,608,Codogno v.Trento,59,LO,Codogno,N         ,01/13/2000,5000892,554872,45.15937678,9.69815314
5630,Biossido di Zolfo,µg/m³,531,Pioltello Limito,114,MI,Pioltello,N         ,05/07/1989,5036730,525583,45.48363242,9.32736196
5652,Biossido di Zolfo,µg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N         ,12/06/1998,5047718,487687,45.58289429,8.84216546
5658,Biossido di Zolfo,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N         ,12/23/1991,5075945,484773,45.83690156,8.80393486
5665,Biossido di Zolfo,µg/m³,595,Filago v.Don Milani,190,BG,Filago,N         ,12/07/1991,5053519,543342,45.63387247,9.55609572
5670,Biossido di Zolfo,µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N         ,06/16/1994,5060449,551482,45.69568669,9.66126061
5676,Biossido di Zolfo,µg/m³,561,Como v.Cattaneo,202,CO,Como,N         ,02/17/1991,5073500,505203,45.81504217,9.06697886
5693,Biossido di Zolfo,µg/m³,600,Lodi v.Vignati,80,LO,Lodi,N         ,12/30/1999,5017060,538042,45.30601628,9.48527511
5698,Biossido di Zolfo,µg/m³,604,Tavazzano con Villavesco v.Cascina Bagnolo,85,LO,Tavazzano con Villavesco,N         ,01/13/2000,5019734,532492,45.33036444,9.41464375
5700,Biossido di Zolfo,µg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N         ,11/01/1993,5147136,605598,46.46952397,10.37543275
5704,Biossido di Zolfo,µg/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,N         ,11/01/1993,5113078,567173,46.16797103,9.87014581
5710,Ozono,µg/m³,544,Cormano v. Edison,153,MI,Cormano,N         ,11/03/1994,5044180,512693,45.547597,9.166983
5717,Ozono,µg/m³,531,Pioltello Limito,114,MI,Pioltello,N         ,05/13/1989,5036730,525583,45.48363242,9.32736196
5721,Ozono,µg/m³,545,Motta Visconti v. De Gasperi,100,MI,Motta Visconti,N         ,03/17/1998,5014273,499103,45.28196356,8.98857592
5725,Ozono,µg/m³,528,Milano Verziere,116,MI,Milano,N         ,09/20/1988,5034443,515270,45.46334886,9.19532511
5730,Ozono,µg/m³,564,Erba v. Battisti,279,CO,Erba,N         ,01/01/2009,5072803,517232,45.8085738,9.2217792
5732,Ozono,µg/m³,573,Colico v.La Madoneta,229,LC,Colico,N         ,11/06/1996,5109468,529713,46.1381409,9.38468725
5738,Ozono,µg/m³,607,Abbadia Cerreto v. Fanfulla,64,LO,Abbadia Cerreto,N         ,04/10/2001,5017500,545920,45.30950506,9.58580022
5739,Ozono,µg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N         ,05/29/1996,5147136,605598,46.46952397,10.37543275
5742,Ozono,µg/m³,572,Morbegno v.Cortivacci,262,SO,Morbegno,N         ,05/24/2003,5108901,543736,46.135486,9.56624
5749,Ozono,µg/m³,554,Saronno v.Santuario,212,VA,Saronno,N         ,05/09/1991,5052646,502058,45.62735705,9.02640138
5750,Ozono,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N         ,12/23/1991,5075945,484773,45.83690156,8.80393486
5790,Monossido di Carbonio,mg/m³,592,Treviglio p.zza Insurrezione,191,BG,Treviglio,N         ,12/01/1994,5040815,546236,45.51933533,9.59201917
5794,Monossido di Carbonio,mg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N         ,06/16/1994,5060449,551482,45.69568669,9.66126061
5798,Monossido di Carbonio,mg/m³,561,Como v.Cattaneo,202,CO,Como,N         ,02/17/1991,5073500,505203,45.81504217,9.06697886
5805,Monossido di Carbonio,mg/m³,574,Lecco v. Amendola,214,LC,Lecco,N         ,02/17/1991,5077479,530713,45.85019631,9.39558125
5809,Monossido di Carbonio,mg/m³,600,Lodi v.Vignati,80,LO,Lodi,N         ,12/30/1999,5017060,538042,45.30601628,9.48527511
5812,Monossido di Carbonio,mg/m³,606,San Giuliano Milanese via Milano,97,MI,San Giuliano Milanese,N         ,01/13/2000,5027003,522127,45.39619767,9.28269897
5827,Monossido di Carbonio,mg/m³,501,Milano v.Marche,129,MI,Milano,N         ,04/05/1989,5038105,514918,45.49631883,9.19093444
5834,Monossido di Carbonio,mg/m³,548,Milano v.Senato,118,MI,Milano,N         ,05/01/1995,5035238,515435,45.470501,9.19746075
5835,Monossido di Carbonio,mg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,N         ,04/29/1990,5042386,518435,45.53476819,9.23610903
5842,Monossido di Carbonio,mg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N         ,11/02/1993,5147136,605598,46.46952397,10.37543275
5845,Monossido di Carbonio,mg/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,N         ,11/01/1993,5113078,567173,46.16797103,9.87014581
5847,Monossido di Carbonio,mg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N         ,12/06/1998,5047718,487687,45.58289429,8.84216546
5853,Monossido di Carbonio,mg/m³,560,Varese v.Copelli,383,VA,Varese,N         ,08/07/2003,5073728,486035,45.8169745,8.82024911
5950,Biossido di Azoto,µg/m³,626,Corte de' Cortesi con Cignone v. Villa Strada Forca,57,CR,Corte de' Cortesi con Cignone,N         ,05/17/1996,5014380,578919,45.27848997,10.00620528
5952,Ozono,µg/m³,626,Corte de' Cortesi con Cignone v. Villa Strada Forca,57,CR,Corte de' Cortesi con Cignone,N         ,05/17/1996,5014380,578919,45.27848997,10.00620528
5953,Biossido di Azoto,µg/m³,627,Cremona P.zza Cadorna,39,CR,Cremona,N         ,12/12/1997,4998110,579872,45.13195042,10.01574064
5958,Biossido di Azoto,µg/m³,629,Crema v.XI febbraio,79,CR,Crema,N         ,11/01/1992,5023885,555127,45.36631075,9.70395139
5960,Ozono,µg/m³,629,Crema v.XI febbraio,79,CR,Crema,N         ,04/28/1996,5023885,555127,45.36631075,9.70395139
5965,Biossido di Azoto,µg/m³,633,Soresina v. Landriani,70,CR,Soresina,N         ,10/16/1999,5014860,567712,45.28398,9.86340258
5989,Benzene,µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N         ,08/02/1997,5060449,551482,45.69568669,9.66126061
6057,Benzene,µg/m³,548,Milano v.Senato,118,MI,Milano,N         ,01/01/1999,5035238,515435,45.470501,9.19746075
6411,Monossido di Carbonio,mg/m³,627,Cremona P.zza Cadorna,39,CR,Cremona,N         ,12/12/1997,4998110,579872,45.13195042,10.01574064
6582,Ozono,µg/m³,561,Como v.Cattaneo,202,CO,Como,N         ,02/17/1991,5073500,505203,45.81504217,9.06697886
6587,Biossido di Zolfo,µg/m³,574,Lecco v. Amendola,214,LC,Lecco,N         ,02/17/1991,5077479,530713,45.85019631,9.39558125
6685,Biossido di Azoto,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N         ,06/01/2002,5004590,512932,45.19468231,9.16464919
6686,Biossido di Zolfo,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N         ,06/01/2002,5004590,512932,45.19468231,9.16464919
6691,Ozono,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N         ,06/01/2002,5004590,512932,45.19468231,9.16464919
6701,Biossido di Azoto,µg/m³,643,Pavia p.zza Minerva,77,PV,Pavia,N         ,03/03/2002,5003660,511522,45.18633544,9.14667703
6705,Monossido di Carbonio,mg/m³,643,Pavia p.zza Minerva,77,PV,Pavia,N         ,03/03/2002,5003660,511522,45.18633544,9.14667703
6761,Biossido di Azoto,µg/m³,649,Brescia v.Broletto,149,BS,Brescia,N         ,01/01/1983,5043674,595467,45.54006456,10.22281989
6781,Biossido di Azoto,µg/m³,652,Brescia v.Turati,154,BS,Brescia,N         ,01/13/1999,5043626,596168,45.53953611,10.23178722
6782,Monossido di Carbonio,mg/m³,652,Brescia v.Turati,154,BS,Brescia,N         ,01/12/1999,5043626,596168,45.53953611,10.23178722
6798,Biossido di Azoto,µg/m³,654,Sarezzo v.Minelli,269,BS,Sarezzo,N         ,02/18/1990,5055826,593900,45.64962671,10.20509022
6804,Ozono,µg/m³,654,Sarezzo v.Minelli,269,BS,Sarezzo,N         ,03/12/2004,5055826,593900,45.64962671,10.20509022
6813,Biossido di Azoto,µg/m³,656,Gambara v.Parma,47,BS,Gambara,N         ,02/16/1990,5011493,601945,45.24955194,10.29913
6818,Ozono,µg/m³,656,Gambara v.Parma,47,BS,Gambara,N         ,02/15/1990,5011493,601945,45.24955194,10.29913
6826,Biossido di Azoto,µg/m³,657,Lonato del Garda v.del Marchesino,180,BS,Lonato del Garda,N         ,02/16/1990,5035536,615762,45.46375819,10.48078183
6832,Ozono,µg/m³,657,Lonato del Garda v.del Marchesino,180,BS,Lonato del Garda,N         ,03/14/2004,5035536,615762,45.46375819,10.48078183
6841,Biossido di Azoto,µg/m³,659,Odolo v.Praes,349,BS,Odolo,N         ,12/13/2013,5055661,608260,45.64605175,10.38929672
6859,Biossido di Azoto,µg/m³,661,Rezzato v.De Gasperi,147,BS,Rezzato,N         ,08/05/1992,5041110,604367,45.51571417,10.33624003
6869,Benzene,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N         ,06/06/2002,5004590,512932,45.19468231,9.16464919
6870,Benzene,µg/m³,663,Mantova v.Ariosto,18,MN,Mantova,N         ,01/01/2003,5000669,641770,45.14526864,10.80333489
6871,Biossido di Azoto,µg/m³,663,Mantova v.Ariosto,18,MN,Mantova,N         ,01/01/2003,5000669,641770,45.14526864,10.80333489
6872,Biossido di Zolfo,µg/m³,663,Mantova v.Ariosto,18,MN,Mantova,N         ,01/01/2003,5000669,641770,45.14526864,10.80333489
6877,Biossido di Azoto,µg/m³,664,Mantova p.zza Gramsci,18,MN,Mantova,N         ,06/08/2004,5001351,640031,45.15175186,10.78141717
6879,Monossido di Carbonio,mg/m³,664,Mantova p.zza Gramsci,18,MN,Mantova,N         ,06/11/2004,5001351,640031,45.15175186,10.78141717
6880,Biossido di Azoto,µg/m³,665,Viadana v. Cavalli,37,MN,Viadana,N         ,10/25/2003,4975705,619759,44.92469933,10.51750417
6884,Ozono,µg/m³,665,Viadana v. Cavalli,37,MN,Viadana,N         ,10/01/2003,4975705,619759,44.92469933,10.51750417
6904,Ozono,µg/m³,596,Osio Sotto v.per Levate,182,BG,Osio Sotto,N         ,09/08/2004,5052072,547691,45.62055568,9.61173782
6919,PM10 (SM2005),µg/m³,561,Como v.Cattaneo,202,CO,Como,N         ,01/04/2000,5073500,505203,45.81504217,9.06697886
6939,PM10 (SM2005),µg/m³,600,Lodi v.Vignati,80,LO,Lodi,N         ,12/05/2000,5017060,538042,45.30601628,9.48527511
6947,PM10 (SM2005),µg/m³,643,Pavia p.zza Minerva,77,PV,Pavia,N         ,06/06/2002,5003660,511522,45.18633544,9.14667703
6951,PM10 (SM2005),µg/m³,649,Brescia v.Broletto,149,BS,Brescia,N         ,09/23/2000,5043674,595467,45.54006456,10.22281989
6952,PM10 (SM2005),µg/m³,654,Sarezzo v.Minelli,269,BS,Sarezzo,N         ,06/23/2000,5055826,593900,45.64962671,10.20509022
6962,PM10 (SM2005),µg/m³,595,Filago v.Don Milani,190,BG,Filago,N         ,10/14/2004,5053519,543342,45.63387247,9.55609572
6966,Biossido di Zolfo,µg/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N         ,11/24/2004,5040636,593101,45.51306214,10.19190606
9739,PM10 (SM2005),µg/m³,608,Codogno v.Trento,59,LO,Codogno,N         ,04/09/2005,5000892,554872,45.15937678,9.69815314
